felixdata 13.5 13.5, 20.5, 22.5, 12.5, 30.5, 23.5, 20.5, 30.5
felixdata 12.5 12.5, 13.5, 23.5, 4.5, 29.5, 16.5, 20.5, 22.5
felixdata 13.5 13.5, 17.5, 22.5, 9.5, 29.5, 20.5, 19.5, 26.5
felixdata 12.5 12.5, 24.5, 22.5, 17.5, 30.5, 27.5, 19.5, 34.5
felixdata 13.5 13.5, 17.5, 22.5, 10.5, 30.5, 19.5, 19.5, 26.5
felixdata 22.5 22.5, 4.5, 29.5, 16.5, 18.5, 20.5, 12.5, 14.5
felixdata 14.5 14.5, 18.5, 22.5, 10.5, 30.5, 20.5, 20.5, 28.5
felixdata 13.5 13.5, 22.5, 23.5, 15.5, 31.5, 25.5, 20.5, 31.5
felixdata 15.5 15.5, 19.5, 23.5, 10.5, 31.5, 21.5, 20.5, 26.5
felixdata 23.5 23.5, 2.5, 29.5, 15.5, 18.5, 21.5, 12.5, 13.5
felixdata 13.5 13.5, 17.5, 22.5, 8.5, 30.5, 20.5, 20.5, 26.5
felixdata 14.5 14.5, 21.5, 22.5, 15.5, 31.5, 25.6, 21.5, 31.5
felixdata 15.5 15.5, 17.5, 22.5, 10.5, 29.5, 20.5, 20.5, 25.5
felixdata 14.5 14.5, 13.5, 22.5, 4.5, 29.5, 15.5, 19.5, 21.5
felixdata 12.5 12.5, 16.5, 21.5, 9.5, 30.5, 21.5, 19.5, 27.5
felixdata 12.5 12.5, 21.5, 23.5, 15.5, 31.5, 24.5, 20.5, 33.5
felixdata 13.5 13.5, 17.5, 22.5, 8.5, 30.5, 20.5, 19.5, 27.5
felixdata 12.5 12.5, 12.5, 22.5, 4.5, 28.5, 15.5, 18.5, 22.5
felixdata 14.5 14.5, 18.5, 23.5, 10.5, 30.5, 22.5, 20.5, 28.5
felixdata 13.5 13.5, 22.5, 22.5, 15.5, 30.5, 25.5, 20.5, 32.5
felixdata 12.5 12.5, 16.5, 22.5, 7.5, 29.5, 19.5, 18.5, 26.5
felixdata 13.5 13.5, 15.5, 22.5, 5.5, 29.5, 17.5, 19.5, 25.5
felixdata 14.5 14.5, 21.5, 22.5, 12.5, 30.5, 24.5, 20.5, 30.5
felixdata 13.5 13.5, 19.5, 22.5, 11.5, 30.5, 23.5, 20.5, 30.5
felixdata 13.5 13.5, 11.5, 23.5, 4.5, 30.5, 16.5, 19.5, 21.5
felixdata 13.5 13.5, 17.5, 23.5, 9.5, 30.5, 20.5, 20.5, 27.5
felixdata 16.5 16.5, 23.5, 24.5, 16.5, 32.5, 26.5, 22.5, 33.5
felixdata 13.5 13.5, 16.5, 22.5, 7.5, 30.5, 19.5, 19.5, 25.5
felixdata 12.5 12.5, 13.5, 22.5, 3.5, 28.5, 15.6, 18.5, 22.5
felixdata 13.5 13.5, 19.5, 22.5, 11.5, 30.5, 22.5, 19.5, 29.5
felixdata 13.5 13.5, 20.5, 23.5, 13.5, 30.5, 24.5, 20.5, 32.5
felixdata 13.5 13.5, 14.5, 23.5, 5.5, 30.5, 17.5, 21.5, 23.5
felixdata 14.5 14.5, 14.6, 22.5, 6.5, 29.5, 18.5, 20.5, 24.5
felixdata 14.5 14.5, 20.5, 23.5, 12.5, 30.5, 23.5, 20.5, 31.5
felixdata 14.5 14.5, 19.5, 23.5, 12.5, 29.5, 22.5, 20.5, 29.5
felixdata 14.5 14.5, 14.5, 22.5, 6.5, 28.5, 17.5, 20.5, 24.5
felixdata 14.5 14.5, 15.5, 23.5, 7.5, 31.5, 17.5, 19.5, 24.5
felixdata 14.5 14.5, 21.5, 22.5, 14.5, 30.5, 24.5, 20.5, 32.5
felixdata 14.5 14.5, 19.5, 23.5, 10.5, 32.5, 22.5, 20.5, 28.5
felixdata 13.5 13.5, 12.5, 22.5, 4.5, 29.5, 14.5, 19.5, 20.5
felixdata 14.5 14.5, 16.5, 23.5, 8.5, 30.5, 19.5, 20.5, 25.5
felixdata 14.5 14.5, 21.5, 23.5, 14.5, 31.5, 25.5, 21.5, 32.5
felixdata 14.5 14.5, 19.5, 23.5, 11.5, 30.5, 21.5, 20.5, 27.5
felixdata 13.5 13.5, 10.5, 21.5, 3.5, 29.5, 13.5, 18.5, 20.5
felixdata 14.5 14.5, 18.5, 24.5, 10.5, 31.5, 19.5, 20.5, 26.5
felixdata 14.5 14.5, 21.5, 24.5, 14.5, 32.5, 24.5, 21.5, 33.5
felixdata 14.5 14.5, 17.5, 22.5, 9.5, 30.5, 19.5, 19.5, 26.5
felixdata 23.5 23.5, 3.5, 28.5, 14.5, 19.5, 19.5, 13.5, 12.5
felixdata 14.5 14.5, 19.5, 24.5, 11.5, 30.5, 21.5, 20.5, 28.5
felixdata 15.5 15.5, 21.5, 23.5, 13.5, 31.5, 25.5, 21.5, 30.5
felixdata 12.5 12.5, 17.5, 23.5, 7.5, 30.5, 19.5, 19.5, 25.5
felixdata 12.5 12.5, 13.5, 22.5, 4.5, 30.5, 16.5, 19.5, 22.5
felixdata 14.5 14.5, 19.6, 22.5, 11.5, 30.5, 22.5, 20.5, 28.5
felixdata 14.5 14.5, 21.5, 25.5, 14.5, 31.5, 24.5, 23.5, 32.5
felixdata 14.5 14.5, 16.5, 24.5, 8.5, 30.5, 20.5, 21.5, 26.5
felixdata 14.5 14.5, 12.5, 24.5, 2.5, 30.5, 15.5, 20.5, 21.5
felixdata 14.5 14.5, 19.5, 25.5, 10.5, 32.5, 20.5, 21.5, 27.5
felixdata 14.5 14.5, 23.5, 23.5, 15.5, 31.5, 27.5, 21.5, 33.5
felixdata 14.5 14.5, 16.5, 24.5, 7.5, 30.5, 19.5, 21.5, 25.5
felixdata 14.5 14.5, 13.5, 24.5, 4.5, 31.5, 15.5, 20.5, 23.5
felixdata 15.5 15.5, 19.5, 23.5, 12.5, 31.5, 22.5, 21.5, 29.5
felixdata 15.5 15.5, 18.5, 24.5, 12.5, 31.5, 21.5, 21.5, 28.5
felixdata 14.5 14.5, 13.5, 22.5, 4.5, 30.5, 15.5, 19.5, 22.5
felixdata 15.5 15.5, 17.5, 24.5, 8.5, 31.5, 19.5, 21.5, 25.5
felixdata 15.5 15.5, 22.5, 24.5, 15.5, 32.5, 25.5, 22.5, 33.5
felixdata 16.5 16.5, 15.5, 24.5, 7.4, 32.5, 17.5, 21.5, 24.5
felixdata 15.5 15.5, 14.5, 23.5, 5.5, 30.5, 17.5, 21.5, 23.5
felixdata 15.5 15.5, 21.5, 25.5, 14.5, 32.5, 24.5, 22.5, 30.5
felixdata 13.5 13.5, 18.5, 23.5, 11.5, 30.5, 21.5, 20.5, 28.5
felixdata 15.5 15.5, 12.5, 23.5, 4.5, 31.5, 16.5, 21.5, 22.5
felixdata 15.5 15.5, 18.5, 24.5, 9.5, 32.5, 20.5, 21.5, 26.5
felixdata 15.5 15.5, 22.5, 24.5, 14.5, 31.5, 25.5, 21.5, 32.5
felixdata 16.5 16.5, 19.5, 24.5, 9.5, 31.5, 22.5, 22.5, 28.5
felixdata 16.5 16.5, 12.5, 24.5, 4.5, 30.5, 14.5, 21.5, 21.5
felixdata 15.5 15.5, 20.5, 23.5, 12.5, 30.5, 23.5, 21.5, 29.5
felixdata 15.5 15.5, 19.5, 24.5, 10.5, 32.5, 22.5, 21.5, 29.5
felixdata 15.5 15.5, 14.5, 25.5, 5.5, 31.5, 17.5, 21.5, 23.5
